Ticker,Date,Firm,Action,Rating,PT,Source
AMD,-,-,No change in last 7 days,Same,Same,-
AMZN,-,-,No change in last 7 days,Same,Same,-
APP,-,-,No change in last 7 days,Same,Same,-
BKNG,-,-,No change in last 7 days,Same,Same,-
INTU,-,-,No change in last 7 days,Same,Same,-
KKR,-,-,No change in last 7 days,Same,Same,-
MA,-,-,No change in last 7 days,Same,Same,-
META,-,-,No change in last 7 days,Same,Same,-
MSFT,-,-,No change in last 7 days,Same,Same,-
NFLX,-,-,No change in last 7 days,Same,Same,-
NKE,-,-,No change in last 7 days,Same,Same,-
SHOP,-,-,No change in last 7 days,Same,Same,-
SOFI,-,-,No change in last 7 days,Same,Same,-
SPGI,-,-,No change in last 7 days,Same,Same,-
UBER,-,-,No change in last 7 days,Same,Same,-
ROBO,-,-,No change in last 7 days,Same,Same,-
BX,-,-,No change in last 7 days,Same,Same,-
